#Time(s),T_Probe(K),T_VTI(K),B(T),Rxx_B_R,Rxx_B_I,Rxx_B_phase,Rxy_B_R,Rxy_B_I,Rxy_B_phase,Rxx_A_R,Rxx_A_I,Rxx_A_phase,Rxy_A_R,Rxy_A_I,Rxy_A_phase,Stabilized
#Date : 3/2/2026 1:16:37 PM,#Sample : Cu,#Comment : ,,,,,,,,,,,,,,
1.350000000E+2,2.136840000E+2,7.520860000E+1,0.000000000E+0,7.390703783E-4,1.104302852E-2,2.368144223E-1,9.054752437E-5,1.104302852E-2,1.775496824E+2,2.254212534E-3,1.154470368E-2,6.059046484E-2,2.489121940E-5,1.154470368E-2,6.537402090E+0,0.000000000E+0
1.360000000E+2,2.133470000E+2,7.535900000E+1,0.000000000E+0,7.371497299E-4,1.104402784E-2,2.499995700E-1,9.062509414E-5,1.104402784E-2,1.774102903E+2,2.248583628E-3,1.154613151E-2,6.040948965E-2,2.405656411E-5,1.154613151E-2,7.468961493E+0,0.000000000E+0
1.370000000E+2,2.130100000E+2,7.551340000E+1,0.000000000E+0,7.350526693E-4,1.104525264E-2,3.966506013E-1,9.035159942E-5,1.104525264E-2,1.766415080E+2,2.243124175E-3,1.154745362E-2,1.051689096E-1,2.396708942E-5,1.154745362E-2,1.079310570E+1,0.000000000E+0
1.380000000E+2,2.126740000E+2,7.566260000E+1,0.000000000E+0,7.338480508E-4,1.104692074E-2,1.491976212E-1,9.030355816E-5,1.104692074E-2,1.783147425E+2,2.239113507E-3,1.154901706E-2,1.844614095E-2,2.398037303E-5,1.154901706E-2,3.718360732E+0,0.000000000E+0
1.390000000E+2,2.123380000E+2,7.580960000E+1,0.000000000E+0,7.337815856E-4,1.104836894E-2,1.849919967E-1,8.901435813E-5,1.104836894E-2,1.781844197E+2,2.235500646E-3,1.155065892E-2,3.185619577E-2,2.461011009E-5,1.155065892E-2,4.315564729E+0,0.000000000E+0
1.400000000E+2,2.120040000E+2,7.597150000E+1,0.000000000E+0,7.323776648E-4,1.104937697E-2,2.752671988E-1,8.810286891E-5,1.104937697E-2,1.774160514E+2,2.231625475E-3,1.155208455E-2,6.397634773E-2,2.488887086E-5,1.155208455E-2,7.683788376E+0,0.000000000E+0
1.410000000E+2,2.116710000E+2,7.611330000E+1,0.000000000E+0,7.300234831E-4,1.105002144E-2,1.378162252E-1,8.881906143E-5,1.105089676E-2,1.784223537E+2,2.226469416E-3,1.155339356E-2,2.040388228E-2,2.403787340E-5,1.155339356E-2,4.019234390E+0,0.000000000E+0
1.420000000E+2,2.113410000E+2,7.625530000E+1,1.000000000E-4,7.293880497E-4,1.105163234E-2,2.315006439E-1,8.871946933E-5,1.105163234E-2,1.775105154E+2,2.224699274E-3,1.155408230E-2,5.426825268E-2,2.406654254E-5,1.155408230E-2,5.910044746E+0,0.000000000E+0
1.430000000E+2,2.110170000E+2,7.640680000E+1,0.000000000E+0,7.265324687E-4,1.105302608E-2,3.105961642E-1,8.984673945E-5,1.105302608E-2,1.772611245E+2,2.217716831E-3,1.155553202E-2,6.846924475E-2,2.348061687E-5,1.155553202E-2,8.342562841E+0,0.000000000E+0
1.440000000E+2,2.106930000E+2,7.654850000E+1,0.000000000E+0,7.265180623E-4,1.105463228E-2,3.526580415E-1,8.838475038E-5,1.105463228E-2,1.773349347E+2,2.214400765E-3,1.155681195E-2,7.424393834E-2,2.380776201E-5,1.155681195E-2,9.345237996E+0,0.000000000E+0
